STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV20
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",01/10/2005,5.37,1432,,0,0,0,,68,44,,150,150,0,15,17,,,,,,,,,,,,,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",02/10/2005,2.91,1510,,0,0,0,,75,48,,160,150,0,12.1,14.1,1,,,,,,,,,,,1,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",03/10/2005,4.03,1457,,0,0,0,,72,51,,170,160,0,13,14.1,1,,,,,,,,,,,1,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",04/10/2005,4.47,1547,,0,0,0,,72,57,,150,180,0,10.1,12.1,1,1,,,,,,,,,,1,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",05/10/2005,3.8,1515,,0,0,0,,75,59,,160,170,0,12.1,13,1,1,,,,,,1,,,,1,,,,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",06/10/2005,6.04,1504,,0,0,0,,76,65,,180,170,0,17,19.9,1,1,,,,,,,,,,1,1,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",07/10/2005,8.28,2359,,0.17,0,0,,78,68,,180,180,0,15,17.9,1,,,,,,,,,,,1,,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",08/10/2005,14.54,1259,,0.85,0,0,,76,70,,210,230,0,25.1,33.1,1,,,,,,,,,,,1,,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",09/10/2005,11.41,136,,1.78,0,0,,72,52,,360,10,0,25.1,29.1,1,,,,,,,,,,,1,1,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",10/10/2005,9.4,1210,,0.27,0,0,,56,54,,30,50,0,16.1,17,1,,,,,,,,,,,1,1,,1,,,,,,
USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",11/10/2005,14.32,2235,,0.22,0,0,,60,55,,50,50,0,25.1,31.1,1,,,,,,,,,,,1,1,,1,,,,,,
